Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	Test Data
	VerifyDASSettings		Android-Device-Android-.*	.*	PCloudy	CHIL INT (AZURE)	"AcquisitionType=Automatic, Tags='SINGLE_LOCATION_SINGLE_DEVICE,CHIL_DAS_DEV,DAS'"
	RenameDASBaseStation		Android-Device-Android-.*	.*	PCloudy	CHIL INT (AZURE)	"AcquisitionType=Automatic, Tags='SINGLE_LOCATION_SINGLE_DEVICE,CHIL_DAS_DEV,DAS'"
	VerifyDASPanelModelAndFirmwareDetails		Android-Device-Android-.*	.*	PCloudy	CHIL INT (AZURE)	"AcquisitionType=Automatic, Tags='SINGLE_LOCATION_SINGLE_DEVICE,CHIL_DAS_DEV,DAS'"
	DASSettingsDisabled		Android-Device-Android-.*	.*	PCloudy	CHIL INT (AZURE)	"AcquisitionType=Automatic, Tags='SINGLE_LOCATION_SINGLE_DEVICE,CHIL_DAS_DEV,DAS'"
	DASEntryExitDelaySettings		Android-Device-Android-.*	.*	PCloudy	CHIL INT (AZURE)	"AcquisitionType=Automatic, Tags='SINGLE_LOCATION_SINGLE_DEVICE,CHIL_DAS_DEV,DAS'"
	DeleteBaseStation		Android-Device-Android-.*	.*	PCloudy	CHIL INT (AZURE)	"AcquisitionType=Automatic, Tags='SINGLE_LOCATION_SINGLE_DEVICE,CHIL_DAS_DEV,DAS'"
	ChangeBaseStationVolume		Android-Device-Android-.*	.*	PCloudy	CHIL INT (AZURE)	"AcquisitionType=Automatic, Tags='SINGLE_LOCATION_SINGLE_DEVICE,CHIL_DAS_DEV,DAS'"
	VerifyNoKeyfobsAndSensors		Android-Device-Android-.*	.*	PCloudy	CHIL INT (AZURE)	"AcquisitionType=Automatic, Tags='SINGLE_LOCATION_SINGLE_DEVICE,CHIL_DAS_DEV,DAS'"
	EnableDisableGeofencing		Android-Device-Android-.*	.*	PCloudy	CHIL INT (AZURE)	"AcquisitionType=Automatic, Tags='SINGLE_LOCATION_SINGLE_DEVICE,CHIL_DAS_DEV,DAS'"
	VideoSettingsDisabled		Android-Device-Android-.*	.*	PCloudy	CHIL INT (AZURE)	"AcquisitionType=Automatic, Tags='SINGLE_LOCATION_SINGLE_DEVICE,CHIL_DAS_DEV,DAS'"
	VerifyVideoSettings		Android-Device-Android-.*	.*	PCloudy	CHIL INT (AZURE)	"AcquisitionType=Automatic, Tags='SINGLE_LOCATION_SINGLE_DEVICE,CHIL_DAS_DEV,DAS'"
